name,codepoint_hex,codepoint_dec
chat,0xe0c9,57545
chat_add_on,0xf0f3,61683
chat_apps_script,0xf0bd,61629
chat_bubble,0xe0cb,57547
chat_bubble_outline,0xe0cb,57547
chat_dashed,0xeeed,61165
chat_error,0xf7ac,63404
chat_info,0xf52b,62763
chat_paste_go,0xf6bd,63165
chat_paste_go_2,0xf3cb,62411
check,0xe5ca,58826
check_box,0xe834,59444
check_box_outline_blank,0xe835,59445
check_circle,0xf0be,61630
check_circle_filled,0xf0be,61630
check_circle_outline,0xf0be,61630
check_circle_unread,0xf27e,62078
check_in_out,0xf6f6,63222
check_indeterminate_small,0xf88a,63626
check_small,0xf88b,63627
checkbook,0xe70d,59149
checked_bag,0xeb0c,60172
checked_bag_question,0xeb0d,60173
checklist,0xe6b1,59057
checklist_rtl,0xe6b3,59059
checkroom,0xf19e,61854
cheer,0xf6a8,63144
chef_hat,0xf357,62295
chess,0xf5e7,62951
chess_bishop,0xf261,62049
chess_bishop_2,0xf262,62050
chess_king,0xf25f,62047
chess_king_2,0xf260,62048
chess_knight,0xf25e,62046
chess_pawn,0xf3b6,62390
chess_pawn_2,0xf25d,62045
chess_queen,0xf25c,62044
chess_rook,0xf25b,62043
chevron_backward,0xf46b,62571
chevron_forward,0xf46a,62570
chevron_left,0xe5cb,58827
chevron_right,0xe5cc,58828
child_care,0xeb41,60225
child_friendly,0xeb42,60226
child_hat,0xef30,61232
chip_extraction,0xf821,63521
chips,0xe993,59795
chrome_reader_mode,0xe86d,59501
chromecast_2,0xf17b,61819
chromecast_device,0xe83c,59452
chronic,0xebb2,60338
church,0xeaae,60078
cinematic_blur,0xf853,63571
circle,0xef4a,61258
circle_notifications,0xe994,59796
circles,0xe7ea,59370
circles_ext,0xe7ec,59372
clarify,0xf0bf,61631
class,0xe86e,59502
class_,0xe86e,59502
clean_hands,0xf21f,61983
cleaning,0xe995,59797
cleaning_bucket,0xf8b4,63668
cleaning_services,0xf0ff,61695
clear,0xe5cd,58829
clear_all,0xe0b8,57528
clear_day,0xf157,61783
clear_night,0xf159,61785
climate_mini_split,0xf8b5,63669
clinical_notes,0xe09e,57502
clock_arrow_down,0xf382,62338
clock_arrow_up,0xf381,62337
clock_loader_10,0xf726,63270
clock_loader_20,0xf725,63269
clock_loader_40,0xf724,63268
clock_loader_60,0xf723,63267
clock_loader_80,0xf722,63266
clock_loader_90,0xf721,63265
close,0xe5cd,58829
close_fullscreen,0xf1cf,61903
close_small,0xf508,62728
closed_caption,0xe996,59798
closed_caption_add,0xf4ae,62638
closed_caption_disabled,0xf1dc,61916
closed_caption_off,0xe996,59798
cloud,0xf15c,61788
cloud_alert,0xf3cc,62412
cloud_circle,0xe2be,58046
cloud_done,0xe2bf,58047
cloud_download,0xe2c0,58048
cloud_lock,0xf386,62342
cloud_off,0xe2c1,58049
cloud_queue,0xf15c,61788
cloud_sync,0xeb5a,60250
cloud_upload,0xe2c3,58051
cloudy,0xf15c,61788
cloudy_filled,0xf15c,61788
cloudy_snowing,0xe810,59408
co2,0xe7b0,59312
co_present,0xeaf0,60144
code,0xe86f,59503
code_blocks,0xf84d,63565
code_off,0xe4f3,58611
coffee,0xefef,61423
coffee_maker,0xeff0,61424
cognition,0xe09f,57503
cognition_2,0xf3b5,62389
collapse_all,0xe944,59716
collapse_content,0xf507,62727
collections,0xe3d3,58323
collections_bookmark,0xe431,58417
color_lens,0xe40a,58378
colorize,0xe3b8,58296
colors,0xe997,59799
combine_columns,0xf420,62496
comedy_mask,0xf4d6,62678
comic_bubble,0xf5dd,62941
comment,0xe24c,57932
comment_bank,0xea4e,59982
comments_disabled,0xe7a2,59298
commit,0xeaf5,60149
communication,0xe27c,57980
communities,0xeb16,60182
communities_filled,0xeb16,60182
commute,0xe940,59712
compare,0xe3b9,58297
compare_arrows,0xe915,59669
compass_calibration,0xe57c,58748
component_exchange,0xf1e7,61927
compost,0xe761,59233
compress,0xe94d,59725
computer,0xe31e,58142
computer_arrow_up,0xf2f7,62199
computer_cancel,0xf2f6,62198
concierge,0xf561,62817
conditions,0xe0a0,57504
confirmation_number,0xe638,58936
congenital,0xe0a1,57505
connect_without_contact,0xf223,61987
connected_tv,0xe998,59800
connecting_airports,0xe7c9,59337
construction,0xea3c,59964
contact_emergency,0xf8d1,63697
contact_mail,0xe0d0,57552
contact_page,0xf22e,61998
contact_phone,0xf0c0,61632
contact_phone_filled,0xf0c0,61632
contact_support,0xe94c,59724
contactless,0xea71,60017
contactless_off,0xf858,63576
contacts,0xe0ba,57530
contacts_product,0xe999,59801
content_copy,0xe14d,57677
content_cut,0xe14e,57678
content_paste,0xe14f,57679
content_paste_go,0xea8e,60046
content_paste_off,0xe4f8,58616
content_paste_search,0xea9b,60059
contextual_token,0xf486,62598
contextual_token_add,0xf485,62597
contract,0xf5a0,62880
